0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.5612	-0.138657	1.55944	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.62699	0.0198086	2.29301	-0.0368002	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89115	-0.133698	2.24249	-0.200231	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.96661	0.0727789	2.41139	0.100848	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.85895	0.415383	3.34505	0.484746	6.86352	0.416818	6.56942	0.496096	2.36382	0.348847
6.69129	0.435313	2.64009	0.324448	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.07976	0.594402	2.14761	0.0418843	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.09371	0.666516	2.39444	0.182944	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5746	1.66102	2.57537	1.57046	11.5755	1.6669	11.3468	1.427	2.49328	0.600781
11.5256	1.61989	2.3808	1.45635	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5953	2.31757	1.75037	0.143393	13.5921	2.31191	13.827	2.07904	2.5429	0.724947
13.6905	2.29501	2.31212	0.199169	13.6572	1.99915	13.827	2.07904	2.5429	0.724947
16.6394	2.89979	3.56435	0.919783	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4808	2.87205	2.86657	0.790669	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0137	3.70537	2.22076	0.849905	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.0874	3.72575	2.37127	0.889583	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3324	4.73127	2.13172	1.08204	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.4289	4.75095	2.49532	1.1762	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0774	5.57218	2.77324	0.576994	24.0787	5.56968	24.1437	5.83295	2.65286	1.14952
24.1861	5.60646	3.0023	0.645801	24.5601	5.92334	24.1437	5.83295	2.65286	1.14952
26.6103	6.9562	1.92238	1.81755	26.6053	6.96102	26.7833	7.01246	2.6632	1.22647
26.6692	6.97247	2.35678	1.97047	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5817	8.09376	3.37726	0.550913	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.5275	8.08395	3.0934	0.476193	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.9471	9.87102	1.87706	2.67725	31.9416	9.88017	32.0955	9.56901	2.67104	1.33358
31.9329	9.86087	1.98687	2.72184	31.7928	9.49891	32.0955	9.56901	2.67104	1.33358
34.6105	10.7121	3.18178	-0.439731	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.6945	10.7409	3.28835	-0.400672	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.147	12.0762	1.80244	2.5172	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.2624	12.1168	2.20214	2.66495	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3215	13.4756	3.75157	0.486244	40.3285	13.4666	40.0971	13.6505	2.66232	1.36458
